901, 1
﻿ADIS002, 1507
﻿ADIS004, 41
﻿ADIS006, 1
﻿ADIS011, 80
﻿ADIS012, 100
﻿ADIS032, 2000
﻿ADIS036, 2000
﻿ADIS044, 95
﻿ADIS045, 12861.666
﻿ADIS048, 5976
﻿ADIS053, 50000
﻿AK1/10, 3
﻿AK1/12, 10
﻿AK1/6, 17
﻿AK1/7, 2
﻿AK1/8, 1
﻿AK1/9, 1
﻿AK10/1, 11
﻿AK10/13, 9
﻿AK10/14, 2
﻿AK10/15, 47
﻿AK10/16, 9
﻿AK10/17, 2
﻿AK10/19, 2
﻿AK10/2, 3
﻿AK10/20, 2
﻿AK10/21, 1
﻿AK10/22, 4
﻿AK10/23, 5
﻿AK10/26, 4
﻿AK10/27, 4
﻿AK10/28, 2
﻿AK10/30, 7
﻿AK10/34, 1
﻿AK10/36, 11
﻿AK10/37, 2
﻿AK10/42, 1
﻿AK10/43, 1
﻿AK10/44, 2
﻿AK10/45, 2
﻿AK10/46, 2
﻿AK10/51, 1
﻿AK10/53, 1
﻿AK10/7, 1
﻿AK11/13, 3
﻿AK11/15, 10
﻿AK11/16, 1
﻿AK11/2, 8
﻿AK11/20, 2
﻿AK11/22, 20
﻿AK11/24, 5
﻿AK11/25, 1
﻿AK11/26, 1
﻿AK11/28, 2
﻿AK11/3, 1
﻿AK11/31, 1
﻿AK11/33, 5
﻿AK11/34, 3
﻿AK11/35, 4
﻿AK11/37, 3
﻿AK11/38, 2
﻿AK11/40, 5
﻿AK11/41, 10
﻿AK11/42, 1
﻿AK11/43, 2
﻿AK11/50, 3
﻿AK11/52, 2
﻿AK11/55, 20
﻿AK11/56, 10
﻿AK11/57, 10
﻿AK11/59, 12
﻿AK11/60, 7
﻿AK11/61, 18
﻿AK11/63, 10
﻿AK11/64, 5
﻿AK11/65, 3
﻿AK11/66, 4
﻿AK11/67, 8
﻿AK11/72, 1
﻿AK11/74, 3
﻿AK11/76, 1
﻿AK11/81, 1
﻿AK11/82, 1
﻿AK12/10, 5
﻿AK12/11, 1
﻿AK12/12, 1
﻿AK12/13, 1
﻿AK12/18, 1
﻿AK12/19, 6
﻿AK12/2, 2
﻿AK12/20, 2
﻿AK12/21, 2
﻿AK12/22, 3
﻿AK12/24, 4
﻿AK12/25, 4
﻿AK12/26, 2
﻿AK12/27, 6
﻿AK12/29, 2
﻿AK12/31, 3
﻿AK12/32, 1
﻿AK12/34, 1
﻿AK12/35, 1
﻿AK12/36, 1
﻿AK12/37, 1
﻿AK12/42, 1
﻿AK12/44, 12
﻿AK12/45, 3
﻿AK12/46, 14
﻿AK12/47, 6
﻿AK12/48, 6
﻿AK12/49, 6
﻿AK12/50, 4
﻿AK12/51, 2
﻿AK12/52, 20
﻿AK12/53, 4
﻿AK12/54, 4
﻿AK12/55, 4
﻿AK12/56, 4
﻿AK12/57, 3
﻿AK12/6, 2
﻿AK12/60, 1
﻿AK12/64, 1
﻿AK12/67, 3
﻿AK12/69, 95
﻿AK12/7, 3
﻿AK12/70, 206
﻿AK12/72, 1
﻿AK12/73, 19
﻿AK12/74, 8
﻿AK12/75, 4
﻿AK12/77, 1
﻿AK12/78, 4
﻿AK12/79, 5
﻿AK12/8, 25
﻿AK12/83, 4
﻿AK12/84, 5
﻿AK12/85, 6
﻿AK12/86, 4
﻿AK12/87, 2
﻿AK12/89, 1
﻿AK12/90, 2
﻿AK2/1, 3
﻿AK2/2, 9
﻿AK3/10, 1
﻿AK3/2, 7
﻿AK3/9, 6
﻿AK4/2, 4
﻿AK4/29, 1
﻿AK4/34, 2
﻿AK4/35, 5
﻿AK4/36, 4
﻿AK4/37, 2
﻿AK4/39, 3
﻿AK5/24, 3
﻿AK5/28, 2
﻿AK6/5, 1
﻿AK6/6, 1
﻿AK7/1, 6
﻿AK8/5, 4
﻿AK8/7, 1
﻿BAK008, 4
﻿BAK019, 20
﻿BAK020, 8
﻿BAK091, 5
﻿CAF703, 6
﻿CAF706, 2
﻿CAFE-29, 6
﻿CAFE10, 2
﻿CAFE11, 2
﻿CAFE4, 2
﻿CAFE8, 2
﻿CAFE9, 2
﻿CHEM001, 150
﻿CHEM002, 1650
﻿CHEM008, 250
﻿CHEM009, 470
﻿CHEM010, 990
﻿CHEM012, 9675
﻿CHEM015, 350
﻿CHEM018, 520
﻿CHEM020, 3840
﻿CHEM024, 7700
﻿CHEM025, 325
﻿CHEM027, 30
﻿CHEM029, 20
﻿CHEM032, 170
﻿CHEM037, 225
﻿CHEM038, 350
﻿CHEM046, 80
﻿CHEM050, 4350
﻿CHEM053, 1220
﻿CHEM056, 8240
﻿CHEM057, 1800
﻿CHEM059, 1610
﻿CHEM061, 50
﻿CHEM062, 290
﻿CHEM068, 850
﻿CHEM070, 650
﻿CHEM071, 1175
﻿CHEM074, 16
﻿CHEM076, 1
﻿CHEM077, 1048
﻿CHEM080, 160
﻿CHEM081, 144
﻿CHEM082, 755
﻿CHEM083, 70
﻿CHEM084, 350
﻿CHEM086, 1305
﻿CHEM087, 175
﻿CHEM089, 120
﻿CHEM090, 216
﻿CLN054, 20
﻿COMHAV-01, 2
